code_commune,code_dep_min,ROUSSEL,MÉLENCHON,MACRON,JADOT,DUPONT-AIGNAN,POUTOU,LASSALLE,HIDALGO,ARTHAUD,PÉCRESSE,LE PEN,ZEMMOUR
40002,40,27,129,183,69,4,5,1,32,11,150,133,73
22002,22,20,90,143,47,6,7,6,4,5,102,105,43
90002,90,6,46,39,16,0,2,0,0,0,28,37,16
41002,41,27,101,92,22,5,2,2,0,6,74,86,26
32002,32,0,10,13,0,2,0,3,0,4,4,9,3
92002,92,737,2027,8346,1833,111,188,106,331,262,4465,7579,1828
71002,71,33,142,133,34,2,5,5,8,0,102,111,36
85002,85,49,194,281,48,4,18,5,2,7,137,267,47
51002,51,33,173,134,37,11,2,8,7,7,83,134,39
25003,25,13,43,33,11,6,4,0,0,7,25,30,10
60003,60,10,80,59,13,3,8,4,11,0,44,46,17
39003,39,4,3,10,6,0,0,1,0,0,0,1,0
78003,78,60,192,451,119,0,15,5,40,11,238,404,113
57003,57,41,183,136,31,6,12,5,0,12,105,113,32
62003,62,13,119,70,18,9,7,0,0,0,60,45,23
70003,70,2,3,10,0,3,3,0,0,2,0,11,7
27003,27,56,251,165,43,7,10,6,3,12,129,176,35
02003,02,23,188,100,18,11,6,2,0,3,89,79,25
47003,47,5,42,43,15,0,0,4,11,0,45,32,11
50003,50,94,390,467,109,18,21,10,15,18,316,393,113
14003,14,5,32,29,15,6,4,0,0,0,25,27,9
21003,21,35,178,172,32,5,11,2,10,0,136,151,37
59003,59,7,37,37,8,0,0,2,16,0,27,20,10
79003,79,144,479,725,174,20,43,7,74,20,514,502,203
51003,51,8,44,26,4,5,0,2,0,2,17,30,6
52003,52,8,31,12,9,2,0,3,2,5,12,14,0
88003,88,1,2,12,7,0,3,5,0,0,0,8,0
10003,10,109,524,321,76,3,6,12,15,20,209,365,71
85003,85,348,1086,1584,309,45,59,16,107,43,898,1502,278
19003,19,11,20,33,7,1,7,0,10,0,28,31,5
28003,28,7,12,8,7,3,0,0,2,0,16,9,6
71003,71,24,96,96,29,0,5,0,20,0,66,85,20
58003,58,13,81,73,25,4,8,3,3,0,61,48,16
33003,33,271,1167,1690,502,26,106,23,167,47,1385,1136,498
37003,37,298,1044,1301,367,32,39,18,117,45,1023,1140,360
36003,36,28,103,88,27,8,2,6,0,0,61,76,24
77003,77,13,54,52,11,6,7,0,0,2,19,41,14
44003,44,227,691,1421,410,17,79,18,61,37,1055,1002,402
86003,86,13,39,51,17,4,0,1,0,3,11,37,14
40003,40,1,30,30,10,0,0,0,26,0,25,19,9
90003,90,22,91,57,12,7,0,0,6,4,64,48,15
32003,32,1,10,6,0,3,0,0,4,2,5,4,0
94003,94,305,894,2147,597,42,73,22,160,72,1877,1535,582
41003,41,21,63,66,13,1,3,3,0,1,45,66,15
56003,56,156,522,837,211,14,48,9,40,11,500,631,216
22003,22,15,73,116,37,0,11,0,0,0,74,81,34
09003,09,8,50,39,18,0,2,0,12,2,55,29,10
18003,18,42,198,172,41,3,7,0,25,9,157,160,49
12003,12,8,32,43,16,0,0,0,0,1,30,38,16
89003,89,67,385,259,77,10,14,5,34,15,205,265,74
49003,49,52,133,210,42,1,20,14,22,8,116,179,48
25004,25,24,124,118,26,1,7,0,21,11,94,109,26
39004,39,1,3,5,0,0,0,0,6,0,12,8,0
57004,57,0,11,11,2,0,4,1,0,0,11,7,4
62004,62,185,1298,700,187,37,48,23,58,24,701,552,195
60004,60,11,62,31,9,6,0,4,3,2,26,27,6
70004,70,7,46,24,5,1,1,0,12,0,19,32,11
02004,02,2,28,12,7,0,1,0,9,4,20,12,3
27004,27,14,49,29,12,1,0,2,0,6,18,36,13
21004,21,4,29,34,14,0,1,1,3,2,27,30,8
47004,47,87,441,362,92,15,24,5,56,18,339,330,106
52004,52,3,0,0,0,4,0,0,0,2,0,0,0
88004,88,3,19,9,5,6,1,3,3,0,18,9,5
50004,50,12,56,63,14,4,3,0,0,0,35,57,21
89004,89,7,33,23,2,0,6,0,0,0,10,27,8
59004,59,32,171,109,35,5,8,1,12,4,122,90,30
09004,09,1,18,13,2,0,0,0,5,3,20,12,0
19004,19,13,55,91,27,8,5,0,45,1,68,57,18
51004,51,0,11,7,0,3,0,0,3,4,14,19,4
10004,10,8,27,14,9,4,0,0,10,0,8,17,3
18004,18,30,125,117,20,6,1,1,0,9,85,101,23
28004,28,9,33,36,7,0,1,0,4,6,27,27,4
58004,58,13,41,31,8,1,1,0,0,4,20,33,12
71004,71,29,134,109,38,9,7,0,3,2,87,105,36
12004,12,11,42,59,11,2,8,1,21,0,46,46,21
76004,76,15,53,55,21,5,4,5,0,7,31,42,19
33004,33,51,241,349,89,3,25,10,38,12,281,229,100
45004,45,324,1312,1279,342,41,42,27,67,37,808,1185,296
37004,37,16,33,43,8,0,3,4,16,5,35,36,14
77004,77,3,34,24,4,2,0,5,3,1,27,16,11
85004,85,99,304,435,91,10,28,11,9,19,227,434,69
86004,86,8,36,45,13,0,4,4,0,6,43,36,14
40004,40,41,180,249,76,9,16,10,15,3,203,162,86
36004,36,12,42,41,6,3,0,0,13,2,30,29,15
32004,32,2,8,20,10,1,0,4,0,2,0,16,10
90004,90,16,64,51,9,5,3,0,12,3,48,43,12
41004,41,4,36,22,5,2,4,0,4,2,26,30,7
56004,56,40,160,243,70,6,10,5,9,7,151,188,64
92004,92,806,2287,9682,2132,119,210,101,225,330,5154,8737,2191
94004,94,236,621,1591,421,27,37,22,63,70,1312,1134,428
22004,22,92,391,653,202,10,32,11,29,12,470,419,205
25005,25,0,7,13,2,0,0,0,9,1,8,10,6
62005,62,24,160,87,20,7,5,1,20,0,82,66,19
78005,78,355,1072,2387,560,34,55,34,67,79,1301,2218,565
60005,60,27,127,80,19,0,0,0,4,9,63,62,17
02005,02,6,72,31,12,3,0,0,4,0,34,30,9
70005,70,5,16,7,0,2,0,0,19,2,5,8,0
27005,27,32,179,129,35,10,2,6,0,9,112,114,34
79005,79,85,281,392,103,3,27,0,44,17,273,289,96
21005,21,36,140,148,35,1,4,0,38,11,106,130,38
52005,52,5,0,6,0,0,4,0,0,4,0,0,0
09005,09,5,22,12,12,0,5,1,0,0,11,16,9
88005,88,4,29,17,10,5,0,5,17,0,15,16,6
19005,19,90,342,547,118,4,37,12,50,15,399,339,125
47005,47,12,65,46,16,1,3,3,0,0,50,52,8
51005,51,2,18,23,0,5,0,0,4,0,15,16,1
59005,59,87,518,403,111,13,21,6,3,24,402,336,115
18005,18,25,121,101,23,7,6,2,28,0,87,100,21
28005,28,17,86,74,24,4,1,0,35,0,52,71,17
71005,71,13,31,29,11,1,5,0,0,1,5,30,9
10005,10,8,36,20,7,2,2,0,0,6,18,27,5
58005,58,1,27,30,5,0,0,3,10,3,24,17,3
76005,76,58,329,269,74,3,19,3,7,15,269,212,84
89005,89,31,121,85,22,7,10,4,1,5,72,80,15
33005,33,299,1281,1853,528,34,116,24,161,67,1561,1184,527
45005,45,7,23,20,4,3,6,0,13,4,15,18,1
86005,86,11,61,70,26,6,1,3,5,0,67,51,18
77005,77,92,313,320,71,13,18,4,0,12,290,248,75
85005,85,30,90,135,20,6,9,5,3,7,78,121,20
37005,37,12,38,61,17,0,4,5,6,0,45,48,11
61005,61,8,32,36,6,0,7,5,0,0,22,32,4
32005,32,3,38,39,16,2,2,3,0,0,34,34,13
40005,40,7,15,27,13,2,0,0,0,0,13,22,5
36005,36,94,447,381,108,24,17,2,56,11,311,361,108
56005,56,69,255,390,111,3,18,3,3,13,222,308,103
93005,93,858,3727,6602,2341,167,319,114,454,437,9057,3521,2315
90005,90,12,55,44,12,7,0,2,2,8,49,43,9
22005,22,18,80,127,32,5,8,4,8,0,79,73,40
44005,44,141,440,904,253,29,49,12,45,23,623,598,246
14005,14,41,171,211,56,15,11,6,0,9,99,172,64
57006,57,36,155,115,24,0,9,1,0,4,84,94,22
62006,62,7,53,27,12,7,4,3,0,0,22,26,14
78006,78,16,46,116,28,7,2,4,0,9,61,104,22
25006,25,3,4,6,7,1,0,3,0,4,0,11,7
39006,39,10,55,42,12,0,3,0,12,0,42,36,12
70006,70,44,209,129,33,9,11,0,2,9,114,135,33
21006,21,7,12,23,7,1,3,0,0,4,0,17,0
02006,02,3,45,18,4,5,4,0,12,2,16,27,1
27006,27,1,25,19,8,2,0,0,0,4,8,13,1
19006,19,0,16,23,6,0,4,0,0,0,10,8,0
47006,47,19,74,65,10,4,5,2,0,3,49,59,16
51006,51,2,29,13,2,0,4,4,0,0,7,23,5
09006,09,5,0,5,5,2,0,0,0,5,0,6,6
52006,52,9,64,32,5,0,0,0,1,6,25,28,11
12006,12,11,35,57,13,5,1,3,0,1,38,39,19
71006,71,3,32,27,8,0,0,0,0,3,15,22,4
14006,14,21,95,116,33,1,5,0,10,4,86,87,28
88006,88,11,35,23,4,3,4,2,8,0,21,25,12
76006,76,3,18,19,3,5,0,0,4,0,14,19,5
59006,59,5,27,19,12,4,6,0,0,0,15,23,11
50006,50,2,15,15,10,0,0,0,0,0,13,20,6
28006,28,60,229,192,53,7,7,3,9,10,137,209,40
89006,89,7,25,13,5,0,0,0,4,2,22,16,4
33006,33,12,62,91,29,7,7,6,4,6,83,63,22
58006,58,11,30,23,11,0,1,1,0,2,18,28,10
18006,18,5,26,30,8,0,3,5,3,0,28,17,4
86006,86,18,55,64,15,2,6,1,24,0,55,49,17
85006,85,42,151,201,46,2,12,0,9,8,118,188,46
77006,77,25,95,107,21,4,1,0,23,4,82,70,18
10006,10,78,334,221,40,15,11,3,32,9,170,260,48
45006,45,30,144,147,32,3,1,6,0,6,97,122,35
40006,40,12,72,89,36,7,0,2,5,2,70,58,36
61006,61,321,1327,1191,299,54,76,16,52,44,717,1369,269
36006,36,99,510,406,129,29,27,10,47,16,360,382,106
37006,37,67,255,335,85,4,6,6,59,12,267,291,92
44006,44,50,141,285,77,10,17,5,0,8,181,200,87
56006,56,37,132,198,52,1,7,2,0,9,130,134,45
41006,41,12,47,46,15,5,3,0,0,2,35,38,14
90006,90,3,38,39,5,0,2,0,26,3,27,22,5
93006,93,343,1536,2763,1003,80,124,35,111,191,3805,1454,963
22006,22,5,16,24,8,1,4,0,0,6,9,20,10
60006,60,35,166,115,31,0,1,0,4,8,95,89,29
62007,62,16,126,56,18,0,9,0,8,0,64,44,22
57007,57,2,14,7,8,0,0,0,0,5,9,13,1
25007,25,4,11,8,0,4,1,0,0,0,0,11,5
60007,60,81,467,315,76,14,9,11,30,24,269,271,69
78007,78,29,82,176,40,4,6,0,0,5,71,155,43
70007,70,11,50,21,8,0,0,2,0,0,25,26,4
21007,21,1,29,32,11,4,0,0,0,3,17,20,3
02007,02,8,27,8,7,4,0,2,0,0,0,8,0
39007,39,6,15,20,5,1,0,3,0,2,9,11,9
09007,09,5,7,14,5,2,0,2,0,0,9,2,0
79007,79,9,52,82,15,0,6,0,19,0,59,49,17
47007,47,1,29,17,7,0,5,0,7,1,21,21,5
19007,19,17,66,94,18,0,5,0,33,8,80,57,19
14007,14,0,17,25,11,2,0,3,0,6,8,26,9
12007,12,9,11,24,4,4,0,0,3,0,14,25,9
51007,51,28,119,89,22,7,7,0,12,4,68,96,22
52007,52,5,3,11,1,5,5,1,0,0,0,2,2
71007,71,9,17,11,6,0,0,0,0,0,14,8,3
88007,88,2,0,10,6,0,3,5,0,2,0,3,3
76007,76,22,95,68,17,4,8,5,0,2,63,65,20
89007,89,12,62,44,6,6,6,0,9,5,43,42,15
28007,28,85,376,304,73,3,16,6,15,17,227,297,73
49007,49,3185,9747,15359,3724,470,752,179,745,448,9521,13716,3744
59007,59,23,108,72,19,6,0,0,5,2,81,71,26
58007,58,4,44,41,13,0,3,0,0,3,21,25,13
86007,86,31,110,143,32,7,8,1,0,5,114,99,43
18007,18,2,4,10,0,0,0,0,0,4,3,9,3
33007,33,17,97,141,46,2,11,3,3,9,124,87,48
10007,10,5,19,7,0,0,0,2,0,3,6,9,6
32007,32,7,16,26,5,2,6,4,0,0,21,21,4
40007,40,4,12,26,10,0,4,0,0,3,17,12,13
77007,77,5,32,38,9,6,1,0,4,4,32,31,14
36007,36,11,72,65,22,0,0,1,14,0,56,48,13
37007,37,7,18,25,11,0,2,0,0,0,11,19,2
61007,61,129,499,462,119,19,31,6,67,15,286,532,101
56007,56,282,1039,1642,450,47,79,11,109,27,1008,1266,422
41007,41,22,89,72,19,8,3,0,0,2,40,67,19
44007,44,52,143,319,91,9,11,5,5,14,240,235,101
92007,92,411,1077,4500,1000,68,85,41,107,146,2433,4040,1031
90007,90,3,47,32,4,0,1,0,8,0,26,32,4
93007,93,465,2189,3807,1314,72,165,61,189,261,5365,1980,1311
62008,62,13,134,68,16,4,2,0,11,6,72,47,17
57008,57,5,38,28,9,2,7,4,0,4,0,23,9
25008,25,11,53,58,12,0,6,0,10,3,46,50,9
95008,95,15,52,91,28,6,3,4,0,1,75,59,23
70008,70,8,25,22,9,6,0,0,0,6,0,9,4
60008,60,10,68,43,11,5,0,4,0,4,24,38,11
02008,02,11,54,31,11,4,5,0,0,0,2,24,3
21008,21,15,56,55,18,0,6,0,0,0,31,45,10
27008,27,51,229,162,47,3,9,3,8,7,136,140,39
09008,09,7,13,20,3,0,5,2,3,2,17,6,10
79008,79,19,63,86,17,0,2,5,6,0,71,69,18
39008,39,9,45,30,10,0,0,0,9,1,36,28,10
51008,51,7,28,30,8,0,0,0,9,2,14,26,3
19008,19,5,23,37,11,0,0,0,4,0,32,17,5
47008,47,5,17,16,1,0,0,0,0,2,1,14,0
76008,76,13,80,65,21,5,0,3,19,0,69,62,15
50008,50,13,59,70,20,4,3,0,0,1,27,61,12
52008,52,24,123,80,15,8,2,6,11,11,51,72,11
89008,89,6,21,7,2,0,0,4,0,5,8,17,0
12008,12,13,64,91,29,2,3,0,20,1,73,87,26
88008,88,0,20,11,2,5,2,5,0,0,10,13,4
71008,71,10,25,25,9,0,2,0,0,0,0,23,6
49008,49,20,72,107,21,1,0,0,25,7,61,88,20
59008,59,199,1199,833,230,29,57,8,57,36,874,727,250
58008,58,6,27,18,6,0,0,2,0,3,20,10,1
28008,28,5,18,18,5,0,0,0,0,0,10,23,9
10008,10,1,14,10,0,0,0,0,12,0,9,13,0
40008,40,0,6,7,0,3,0,0,3,0,8,12,9
32008,32,0,11,11,7,0,0,1,0,0,5,4,9
77008,77,28,114,114,30,8,7,6,0,9,85,85,28
36008,36,6,32,29,4,6,0,0,0,0,15,31,12
45008,45,43,175,164,35,8,6,4,16,2,109,144,46
86008,86,5,35,44,7,5,7,0,0,5,23,27,12
18008,18,12,56,50,15,7,0,0,0,4,42,44,10
37008,37,68,263,335,98,19,15,1,20,1,228,284,78
61008,61,25,115,114,30,10,5,6,0,1,74,135,22
85008,85,186,624,876,160,27,36,7,29,25,492,856,183
41008,41,25,78,68,16,0,8,3,0,1,41,76,23
56008,56,130,500,794,215,27,28,8,22,29,465,615,215
90008,90,102,524,397,105,19,18,6,7,29,345,334,97
93008,93,430,1973,3498,1248,95,156,51,122,247,4709,1870,1209
22008,22,22,82,153,44,3,9,4,16,5,109,90,45
33008,33,15,39,66,18,0,0,0,0,1,49,41,21
62009,62,7,45,19,4,3,3,0,0,0,18,22,10
70009,70,0,14,9,8,5,5,0,0,6,5,6,2
57009,57,0,8,6,2,0,0,0,10,3,11,11,0
02009,02,12,100,45,8,5,0,3,1,5,52,40,6
78009,78,10,18,35,6,1,4,5,0,7,14,35,12
21009,21,5,19,31,10,0,0,0,0,1,11,27,6
60009,60,35,224,144,35,11,8,1,20,8,141,128,40
09009,09,0,18,17,12,2,0,0,16,6,23,14,6
27009,27,16,79,47,8,2,0,4,0,5,50,46,19
14009,14,29,154,169,49,13,14,4,15,6,123,141,43
79009,79,8,32,58,20,5,8,0,0,1,40,33,12
76009,76,6,42,32,12,0,0,3,0,1,27,25,12
39009,39,9,65,55,14,0,3,4,14,0,51,50,16
52009,52,3,18,14,4,0,4,0,0,6,8,8,7
47009,47,8,40,35,6,0,0,0,1,1,27,24,6
51009,51,21,111,86,14,8,4,1,0,0,50,90,21
89009,89,16,46,29,12,0,0,3,0,5,29,35,4
71009,71,26,84,81,21,4,0,1,0,7,51,71,23
88009,88,105,453,338,85,16,31,3,6,16,253,277,88
49009,49,13,36,58,8,6,7,0,0,0,23,56,19
58009,58,1,14,20,9,3,0,4,0,3,0,15,6
33009,33,277,1171,1730,480,49,100,15,132,49,1426,1141,503
86009,86,25,94,128,32,8,10,6,0,7,101,79,32
18009,18,8,34,34,11,3,2,4,0,3,19,31,3
28009,28,6,8,5,0,3,3,0,0,0,5,10,1
32009,32,6,4,6,0,3,5,3,0,0,5,9,5
12009,12,6,5,15,5,4,0,0,0,0,1,15,4
10009,10,8,17,10,1,0,0,0,1,0,7,9,0
36009,36,29,139,119,42,5,9,6,26,2,122,114,36
77009,77,3,21,12,2,2,5,0,0,2,13,15,1
45009,45,24,104,106,25,0,8,0,47,0,70,99,21
85009,85,26,98,156,31,3,5,0,25,10,60,145,32
37009,37,12,38,55,17,7,0,4,0,1,28,39,12
41009,41,25,82,78,18,0,5,0,24,1,58,77,16
25009,25,3,18,15,9,0,5,3,0,1,20,14,4
56009,56,23,116,166,38,9,5,6,1,7,114,121,47
44009,44,202,642,1337,389,30,72,15,123,46,1018,918,375
90009,90,128,610,457,130,13,21,2,30,22,413,386,120
92009,92,299,866,3611,783,35,58,31,156,126,1906,3224,741
22009,22,0,17,20,2,0,6,0,8,6,12,12,7
19009,19,6,16,13,6,4,2,1,0,0,2,13,2
59009,59,1206,7104,4937,1380,199,254,65,264,223,5142,4179,1427
62010,62,8,44,27,3,5,2,1,0,0,7,22,9
70010,70,8,17,10,7,0,0,1,0,0,3,13,0
57010,57,9,22,15,8,2,2,0,0,1,11,15,7
02010,02,0,34,14,8,0,0,0,0,2,5,19,1
21010,21,6,20,21,0,0,0,4,0,0,6,19,6
60010,60,43,254,151,35,8,9,3,0,7,125,138,37
27010,27,1,27,12,5,2,0,0,7,0,20,20,1
76010,76,8,59,52,12,0,6,0,0,1,49,40,14
39010,39,0,17,15,7,0,0,0,0,0,0,12,0
51010,51,9,13,12,8,6,0,0,0,6,0,20,0
89010,89,8,45,32,7,0,0,2,0,0,16,28,4
59010,59,7,34,28,7,3,5,2,0,6,0,22,1
47010,47,8,28,16,2,6,0,0,0,0,22,21,11
71010,71,28,101,86,27,1,3,6,5,4,70,85,20
88010,88,2,29,24,7,0,5,1,0,0,17,19,9
33010,33,6,37,59,17,0,4,0,11,5,57,40,17
18010,18,5,26,18,10,0,2,5,1,0,16,13,3
19010,19,69,260,401,98,14,32,7,27,24,312,280,92
28010,28,11,48,35,5,5,2,0,0,0,24,40,9
58010,58,22,92,88,26,0,0,1,0,0,67,60,23
49010,49,11,15,36,13,0,5,3,0,4,4,35,6
12010,12,0,11,16,2,2,0,5,4,3,8,19,3
10010,10,7,0,6,2,0,0,1,0,0,0,4,6
32010,32,7,7,14,3,0,6,0,0,5,3,11,0
79010,79,13,58,82,21,0,0,2,27,5,54,52,19
45010,45,34,118,117,34,0,1,0,1,3,90,103,31
86010,86,23,110,139,35,3,6,6,24,5,109,105,46
77010,77,20,57,57,20,0,0,0,7,1,53,45,20
61010,61,0,11,9,6,5,6,5,2,2,9,12,3
37010,37,56,175,231,57,10,15,7,0,7,151,181,65
85010,85,36,135,191,38,8,7,4,12,0,100,171,32
36010,36,20,89,76,18,5,5,4,21,4,71,86,25
41010,41,26,125,102,21,0,0,0,26,0,70,98,26
44010,44,62,236,494,131,7,15,6,46,16,388,344,149
56010,56,156,549,865,210,22,41,10,33,24,487,633,228
90010,90,767,4111,3126,902,134,175,44,199,199,2768,2680,880
93010,93,513,2243,4038,1435,117,167,57,137,251,5451,2105,1440
78010,78,29,72,175,49,3,4,0,22,12,96,158,38
62011,62,22,129,57,21,3,3,0,5,1,66,45,20
57011,57,14,88,58,12,2,1,2,5,0,53,45,20
25011,25,20,92,92,27,8,8,0,0,1,61,78,24
70011,70,8,53,29,11,0,2,0,8,0,28,36,5
02011,02,38,214,112,29,6,9,0,10,0,112,103,28
95011,95,10,28,44,9,0,5,0,8,7,54,32,12
27011,27,37,185,120,26,0,15,0,9,9,92,114,38
21011,21,3,5,13,0,0,0,5,0,3,0,12,0
60011,60,8,56,35,12,6,4,5,0,5,2,31,11
76011,76,1,20,19,5,1,0,0,0,6,19,20,11
59011,59,254,1338,982,266,33,49,20,14,41,946,814,255
39011,39,15,51,51,12,0,0,0,0,2,28,46,11
89011,89,6,20,19,0,0,0,1,0,0,13,16,0
52011,52,0,10,13,4,1,0,1,0,0,0,14,6
47011,47,6,26,19,6,2,2,5,0,3,5,18,9
09011,09,5,5,14,2,0,0,0,2,3,8,3,8
71011,71,10,61,48,18,7,2,0,0,4,40,49,18
88011,88,51,212,144,31,5,13,0,38,8,130,142,35
18011,18,58,272,237,56,5,14,4,9,4,199,200,51
58011,58,8,36,26,14,0,6,1,0,0,13,27,13
19011,19,30,96,165,35,8,10,3,9,0,113,108,40
10011,10,5,27,17,1,5,5,2,4,1,10,23,9
40011,40,10,32,39,10,3,7,0,13,4,36,26,9
49011,49,11,47,59,16,0,5,4,1,0,47,49,12
12011,12,22,80,106,29,8,2,0,12,3,95,89,29
33011,33,129,631,902,273,16,49,8,58,21,717,564,270
86011,86,2,11,16,4,0,5,0,8,2,12,14,2
45011,45,10,23,15,7,0,0,0,0,4,8,24,1
61011,61,9,42,41,6,5,5,4,8,2,36,43,13
77011,77,12,62,65,19,0,3,0,0,5,52,46,14
14011,14,46,175,214,54,3,21,4,33,16,142,180,55
37011,37,49,158,203,61,13,12,9,2,7,145,170,51
36011,36,2,23,13,0,2,5,0,6,5,21,17,1
85011,85,52,186,271,55,7,6,4,8,4,146,249,60
90011,90,4,41,32,8,3,4,0,27,2,29,30,9
94011,94,256,694,1629,460,23,55,13,31,80,1305,1195,447
22011,22,18,72,136,46,5,10,0,0,1,82,93,39
56011,56,29,123,214,61,7,10,6,2,1,134,145,54
62012,62,0,31,26,10,4,2,0,0,4,22,16,1
57012,57,147,725,536,123,13,38,2,47,31,457,434,130
70012,70,9,104,66,14,7,3,3,5,0,37,60,15
02012,02,4,8,8,6,0,1,0,0,2,0,3,1
95012,95,0,9,19,6,0,5,0,13,0,19,12,10
27012,27,11,75,48,6,1,7,3,0,5,37,40,6
21012,21,11,35,36,10,0,7,0,10,0,30,38,9
60012,60,67,453,293,61,6,28,6,0,23,224,245,70
14012,14,3,10,12,4,0,0,3,7,2,9,19,6
76012,76,1,20,23,3,4,0,1,6,4,27,14,1
52012,52,2,0,0,0,0,1,3,3,2,3,0,0
89012,89,5,13,7,0,2,2,0,0,0,8,12,5
59012,59,73,416,306,90,20,12,6,0,3,303,252,92
51012,51,6,6,10,0,0,4,0,0,5,0,6,0
47012,47,5,45,31,12,0,0,0,12,5,26,23,4
09012,09,1,0,3,4,1,0,0,0,0,0,6,0
88012,88,43,164,129,32,6,12,3,0,4,100,110,30
